,username,twitter_handle
0, Jeffrey Gettleman ,@gettleman)
1, Africa24 Media ,@a24media)
2, Scapegoat ,@andiMakinana)
3, Africa Check ,@AfricaCheck)
4, James Copnall ,@JamesCopnall)
5, Online Africa ,@oafrica)
6, Patrick Ngowi ,@PatrickNgowi)
7, DOS African Affairs ,@StateAfrica)
8, MoadowAJE ,@Moadow)
9, Brendan Boyle ,@BrendanSAfrica)
10, City of Tshwane ,@CityTshwane)
11, VISI Magazine ,@VISI_Mag)
12, andBeyond ,@andBeyondSafari)
13, This Is Africa ,@ThisIsAfricaTIA)
14, Sarah Carter ,@sarzss)
15, The EIU Africa team ,@TheEIU_Africa)
16, Investing In Africa ,@InvestInAfrica)
17, Barry Malone ,@malonebarry)
18, ARTsouthAFRICA ,@artsouthafrica)
19, Kahn Morbee ,@KahnMorbee)
20, Jamal Osman ,@JamalMOsman)
21, iamsuede™ ,@iamsuede)
22, Mike Stopforth ,@mikestopforth)
23, Equal Education ,@equal_education)
24, Tristan McConnell ,@t_mcconnell)
25, Kate Forbes ,@forbeesta)
26, Vanessa Raphaely ,@hurricanevaness)
27, Karen Allen ,@BBCKarenAllen)
28, Jax Panik ,@jaxpanik)
29, This Is Africa ,@thisisafrica)
30, Audi South Africa ,@audisouthafrica)
31, ONE ,@ONEinAfrica)
32, Hamza Mohamed ,@Hamza_Africa)
33, drew hinshaw ,@drewfhinshaw)
34, Rebecca Enonchong ,@africatechie)
35, marais ,@cx73)
36, George Ayittey ,@ayittey)
37, Mercedes-Benz SA ,@MercedesBenz_SA)
38, Africa Gathering ,@africagathering)
39, okayafrica ,@okayafrica)
40, Mary Harper ,@mary_harper)
41, Save the Rhino ,@savetherhino)
42, africa @pressfreedom ,@africamedia_CPJ)
43, TechCentral ,@TechCentral)
44, GautengGovt ,@GautengProvince)
45, Abdi Aynte ,@Aynte)
46, Daniel Howden ,@daniel_howden)
47, Ranger Diaries ,@rangerdiaries)
48, The Star ,@TheStar_news)
49, James Schneider ,@schneiderhome)
50, Afrinnovator ,@Afrinnovator)
51, theafricareport ,@theafricareport)
52, City of Joburg ,@CityofJoburgZA)
53, Think Africa Press ,@ThinkAfricaFeed)
54, Africa The Good News ,@AfricaGoodNews)
55, will ross ,@willintune)
56, CNBC Africa ,@cnbcafrica)
57, HowWeMadeItInAfrica ,@MadeItInAfrica)
58, Africa Research Inst ,@AfricaResearch)
59, FoodBlog Cape Town ,@FoodBlogCT)
60, Mbuyiseni Ndlozi ,@MbuyiseniNdlozi)
61, AfricaProgressPanel ,@africaprogress)
62, IFC Africa ,@IFCAfrica)
63, Henley Africa ,@HenleyAfrica)
64, The New Age ,@The_New_Age)
65, Geoffrey York ,@geoffreyyork)
66, Entrepreneur Mag SA ,@Entrepreneur_SA)
67, Forbes Africa ,@forbesafrica)
68, IEC South Africa ,@IECSouthAfrica)
69, Arthur Goldstuck ,@art2gee)
70, Jendayi E Frazer ,@JendayiFrazer)
71, Peter Greste ,@PeterGreste)
72, Disaster Operations ,@NDOCKenya)
73, Mo Ibrahim Fdn ,@Mo_IbrahimFdn)
74, Parliament of RSA ,@ParliamentofRSA)
75, Sandton City ,@SandtonCity)
76, African Union ,@_AfricanUnion)
77, Gert-Johan Coetzee ,@gertjohan)
78, David Smith ,@SmithInAfrica)
79, Ray Hartley ,@hartleyr)
80, Live Amp ,@liveamp)
81, Samsung South Africa ,@SamsungSA)
82, Bob Skinstad ,@BobSkinstad)
83, Camfed ,@Camfed)
84, andrew harding ,@BBCAndrewH)
85, Euphonik™♛ ,@euphonik)
86, Ulrich J van Vuuren ,@UlrichJvV)
87, John Robbie ,@702JohnRobbie)
88, Cricket South Africa ,@OfficialCSA)
89, MTV Base Africa ,@MTVbaseAfrica)
90, Computicket ,@Computicket)
91, loyiso gola ,@loyisogola)
92, 5FM ,@5FM)
93, mailandguardian ,@mailandguardian)
94, Helen Zille ,@helenzille)
95, Julius Sello Malema ,@Julius_S_Malema)
96, News24 ,@News24)
97, Jacob G,@SAPresident)
98, Gareth Cliff ,@GarethCliff)
99, Trevor Noah ,@Trevornoah)
